Name	Group	Area	nBranches	fractionOfBranches	AvgNumVertInBranch	AvgNumEdgesInBranch
MDA101L	Sham	AUD	20	0.023148148	3.35	2.35
MDA101L	Sham	VIS	64	0.074074074	3.5	2.5
MDA101L	Sham	HIND	7	0.008101852	2.428571429	1.428571429
MDA101L	Sham	FORE	13	0.015046296	3.230769231	2.230769231
MDA101L	Sham	BF	53	0.061342593	3.018867925	2.018867925
MDA105L	Sham	AUD	18	0.018887723	4.833333333	3.833333333
MDA105L	Sham	VIS	102	0.10703043	3.911764706	2.911764706
MDA105L	Sham	HIND	4	0.004197272	2	1
MDA105L	Sham	FORE	14	0.014690451	3.5	2.5
MDA105L	Sham	BF	47	0.049317943	4.29787234	3.29787234
MDA106L	Sham	AUD	22	0.020696143	4.045454545	3.045454545
MDA106L	Sham	VIS	152	0.142991533	3.184210526	2.184210526
MDA106L	Sham	HIND	6	0.005644403	2.333333333	1.333333333
MDA106L	Sham	FORE	12	0.011288805	3.583333333	2.583333333
MDA106L	Sham	BF	71	0.066792098	3.225352113	2.225352113
MDA302L	Plucked	AUD	18	0.039215686	2.666666667	1.666666667
MDA302L	Plucked	VIS	0	0	NaN	NaN
MDA302L	Plucked	HIND	11	0.023965142	2.272727273	1.272727273
MDA302L	Plucked	FORE	16	0.034858388	3.3125	2.3125
MDA302L	Plucked	BF	48	0.104575163	2.541666667	1.541666667
MDA303L	Plucked	AUD	27	0.034005038	2.888888889	1.888888889
MDA303L	Plucked	VIS	104	0.130982368	2.740384615	1.740384615
MDA303L	Plucked	HIND	6	0.007556675	2.333333333	1.333333333
MDA303L	Plucked	FORE	6	0.007556675	2.833333333	1.833333333
MDA303L	Plucked	BF	65	0.08186398	2.569230769	1.569230769
MDA304L	Plucked	AUD	25	0.043402778	2.24	1.24
MDA304L	Plucked	VIS	78	0.135416667	2.91025641	1.91025641
MDA304L	Plucked	HIND	10	0.017361111	2	1
MDA304L	Plucked	FORE	7	0.012152778	2	1
MDA304L	Plucked	BF	67	0.116319444	2.641791045	1.641791045
MDA305L	Plucked	AUD	46	0.043111528	3.086956522	2.086956522
MDA305L	Plucked	VIS	138	0.129334583	2.985507246	1.985507246
MDA305L	Plucked	HIND	8	0.007497657	3.125	2.125
MDA305L	Plucked	FORE	13	0.012183693	2.692307692	1.692307692
MDA305L	Plucked	BF	75	0.070290534	3.106666667	2.106666667
MDA401L	Sham	AUD	39	0.059541985	2.897435897	1.897435897
MDA401L	Sham	VIS	126	0.192366412	2.793650794	1.793650794
MDA401L	Sham	HIND	16	0.024427481	2.1875	1.1875
MDA401L	Sham	FORE	13	0.019847328	2.538461538	1.538461538
MDA401L	Sham	BF	53	0.080916031	3	2
MDA402L	Sham	AUD	27	0.037762238	2.925925926	1.925925926
MDA402L	Sham	VIS	114	0.159440559	3.447368421	2.447368421
MDA402L	Sham	HIND	13	0.018181818	2.692307692	1.692307692
MDA402L	Sham	FORE	4	0.005594406	2.5	1.5
MDA402L	Sham	BF	41	0.057342657	3.829268293	2.829268293
MDA403L	Sham	AUD	23	0.034795764	4.086956522	3.086956522
MDA403L	Sham	VIS	57	0.08623298	6.561403509	5.561403509
MDA403L	Sham	HIND	8	0.012102874	3.125	2.125
MDA403L	Sham	FORE	21	0.031770045	2.380952381	1.380952381
